Altium Designer Pick and Place Locations
C:\Users\jiang\Desktop\Pomo\Pomo_DriverBoard\Hardware\V2\Pick Place for Panelization.csv

========================================================================================================================
File Design Information:

Date:       15/08/26
Time:       17:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"L4","1.5uH","TopLayer","Inductor-2016","1.4604","7.9812","270","FTC201610S1R5MBCA","1.4604","7.9812","1.4604","8.6312"
"L3","1.5uH","TopLayer","Inductor-2016","1.4604","1.6504","90","FTC201610S1R5MBCA","1.4604","1.6504","1.4604","1.0004"
"L2","4.7uH","TopLayer","Inductor-2016","10.5496","3.0495","180","FTC201610S4R7MBCA","10.5496","3.0495","11.1996","3.0495"
"L1","2.2uH/4.7uH","TopLayer","Inductor-2016","22.4929","4.9409","360","FTC201612S2R2MBCA/FTC201610S4R7MBCA","22.4929","4.9409","21.8429","4.9409"
"J1","FPC-22P-0.5mm","TopLayer","HC-FPC-05-10-22RLTAG","17.1438","30.7674","180","HC-FPC-05-10-22RLTAG","17.1438","32.1724","22.3938","29.3624"
"FB5","120次@100MHz","TopLayer","Ferrite_Bead-0402","19.4564","26.1872","360","UPZ1005D121-1R3TF","19.4564","26.1872","18.9484","26.1872"
"FB4","120次@100MHz","TopLayer","Ferrite_Bead-0402","7.4168","9.5338","180","UPZ1005D121-1R3TF","7.4168","9.5338","7.9248","9.5338"
"FB3","120次@100MHz","TopLayer","Ferrite_Bead-0402","3.4924","9.5252","180","UPZ1005D121-1R3TF","3.4924","9.5252","4.0004","9.5252"
"FB2","120次@100MHz","TopLayer","Ferrite_Bead-0402","6.4144","1.5234","270","UPZ1005D121-1R3TF","6.4144","1.5234","6.4144","2.0314"
"FB1","600次@100MHz","TopLayer","Ferrite_Bead-0603","1.8414","10.9474","180","UPZ1608U601-1R3TF","1.8414","10.9474","2.6414","10.9474"
"D4","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","10.5664","1.3714","360","Schottky Diode-DFN-1610-2","10.5664","1.3714","9.9564","1.3714"
"D3","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","15.7773","1.1684","90","BAV99QA/1SS362FV","15.7773","1.1684","15.4023","0.7184"
"D2","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","19.5834","1.1531","90","BAV99QA/1SS362FV","19.5834","1.1531","19.2084","0.7032"
"D1","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","20.6149","4.9423","90","Schottky Diode-DFN-1610-2","20.6149","4.9423","20.6149","4.3323"
"C42","100nF","TopLayer","Capacitor-0402","17.8054","17.0439","360","100nF/X5R/25V","17.8054","17.0439","17.2974","17.0439"
"C41","100nF","TopLayer","Capacitor-0402","17.8054","13.9954","180","100nF/X5R/25V","17.8054","13.9954","18.3134","13.9954"
"C40","100nF","TopLayer","Capacitor-0402","17.8054","14.7574","180","100nF/X5R/25V","17.8054","14.7574","18.3134","14.7574"
"C39","100nF","TopLayer","Capacitor-0402","17.2859","26.4414","270","100nF/X5R/25V","17.2859","26.4414","17.2859","26.9494"
"C38","4.7uF","TopLayer","Capacitor-0402","16.5237","26.4414","270","4.7uF/X5R/10V","16.5237","26.4414","16.5237","26.9494"
"C37","100nF","TopLayer","Capacitor-0402","10.5664","17.6782","270","100nF/X5R/25V","10.5664","17.6782","10.5664","18.1862"
"C36","4.7uF","TopLayer","Capacitor-0402","10.5664","19.4562","90","4.7uF/X5R/10V","10.5664","19.4562","10.5664","18.9481"
"C35","100nF","TopLayer","Capacitor-0402","18.0482","26.4414","90","100nF/X5R/25V","18.0482","26.4414","18.0482","25.9334"
"C34","100nF","TopLayer","Capacitor-0402","10.5664","23.0124","270","100nF/X5R/25V","10.5664","23.0124","10.5664","23.5204"
"C33","100nF","TopLayer","Capacitor-0402","19.4564","26.9494","360","100nF/X5R/25V","19.4564","26.9494","18.9484","26.9494"
"C32","100nF","TopLayer","Capacitor-0402","17.8054","17.8062","360","100nF/X5R/25V","17.8054","17.8062","17.2974","17.8062"
"C31","220pF","TopLayer","Capacitor-0402","5.3974","8.7629","360","CL05C221JB5NNNC","5.3974","8.7629","4.8894","8.7629"
"C30","10uF","TopLayer","Capacitor-0402","5.4102","9.5252","360","HGC0402R5106M100NTEJ","5.4102","9.5252","4.9022","9.5252"
"C29","220pF","TopLayer","Capacitor-0402","3.4924","8.7629","180","CL05C221JB5NNNC","3.4924","8.7629","4.0004","8.7629"
"C28","10uF","TopLayer","Capacitor-0402","1.4604","9.5394","360","HGC0402R5106M100NTEJ","1.4604","9.5394","0.9524","9.5394"
"C27","10uF","TopLayer","Capacitor-0402","7.5564","3.6824","180","HGC0402R5106M100NTEJ","7.5564","3.6824","8.0644","3.6824"
"C26","10uF","TopLayer","Capacitor-0402","7.5564","5.2067","180","HGC0402R5106M100NTEJ","7.5564","5.2067","8.0644","5.2067"
"C25","10uF","TopLayer","Capacitor-0402","1.3334","3.3014","360","HGC0402R5106M100NTEJ","1.3334","3.3014","0.8254","3.3014"
"C24","1uF","TopLayer","Capacitor-0402","1.3334","5.5879","360","HGC0402R5105K500NTEJ","1.3334","5.5879","0.8254","5.5879"
"C23","220pF","TopLayer","Capacitor-0402","4.8899","1.5234","270","CL05C221JB5NNNC","4.8899","1.5234","4.8899","2.0314"
"C22","10uF","TopLayer","Capacitor-0402","5.6522","1.5234","270","HGC0402R5106M100NTEJ","5.6522","1.5234","5.6522","2.0314"
"C21","10uF","TopLayer","Capacitor-0402","6.3754","10.9474","180","HGC0402R5106M100NTEJ","6.3754","10.9474","6.8834","10.9474"
"C20","10uF","TopLayer","Capacitor-0402","6.3754","11.7094","360","HGC0402R5106M100NTEJ","6.3754","11.7094","5.8674","11.7094"
"C19","4.7uF","TopLayer","Capacitor-0805","13.4033","1.2954","360","CL21A475KBQNNNE","13.4033","1.2954","12.4033","1.2954"
"C18","4.7uF","TopLayer","Capacitor-0805","13.4033","2.8493","360","CL21A475KBQNNNE","13.4033","2.8493","12.4033","2.8493"
"C17","10uF","TopLayer","Capacitor-0603","10.8204","4.6805","360","CL10A106KP8NNNC","10.8204","4.6805","10.0204","4.6805"
"C16","10nF/47nF","TopLayer","Capacitor-0402","15.3613","2.8347","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","15.3613","2.8347","15.3613","3.3427"
"C15","100nF/1uF","TopLayer","Capacitor-0402","17.2972","2.8194","270","0402B104K500NT/HGC0402R5105K500NTEJ","17.2972","2.8194","17.2972","3.3274"
"C14","4.7uF","TopLayer","Capacitor-0805","11.2049","9.0711","270","CL21A475KBQNNNE","11.2049","9.0711","11.2049","10.0711"
"C13","100nF/1uF","TopLayer","Capacitor-0402","18.0594","2.8194","270","0402B104K500NT/HGC0402R5105K500NTEJ","18.0594","2.8194","18.0594","3.3274"
"C12","4.7uF","TopLayer","Capacitor-0402","11.2049","11.0292","360","CL05A475MO5NUNC","11.2049","11.0292","10.6969","11.0292"
"C11","10nF/47nF","TopLayer","Capacitor-0402","19.9644","2.8194","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","19.9644","2.8194","19.9644","3.3274"
"C10","4.7uF","TopLayer","Capacitor-0805","22.0877","1.2656","360","CL21A475KBQNNNE","22.0877","1.2656","21.0877","1.2656"
"C9","4.7uF","TopLayer","Capacitor-0805","22.0877","2.8194","360","CL21A475KBQNNNE","22.0877","2.8194","21.0877","2.8194"
"C8","10uF","TopLayer","Capacitor-0603","12.9033","11.9761","360","CL10A106KP8NNNC","12.9033","11.9761","12.1033","11.9761"
"C7","4.7uF","TopLayer","Capacitor-0805","21.6189","6.7814","360","CL21A475KBQNNNE","21.6189","6.7814","20.6189","6.7814"
"C6","4.7uF","TopLayer","Capacitor-0402","14.5034","12.3444","270","CL05A475MO5NUNC","14.5034","12.3444","14.5034","12.8524"
"C5","10uF","TopLayer","Capacitor-0603","22.6349","10.3141","90","CL10A106KP8NNNC","22.6349","10.3141","22.6349","9.5141"
"C4","4.7uF","TopLayer","Capacitor-0805","21.6189","8.3352","360","CL21A475KBQNNNE","21.6189","8.3352","20.6189","8.3352"
"C3","4.7uF","TopLayer","Capacitor-0805","17.2237","12.3444","360","CL21A475KBQNNNE","17.2237","12.3444","16.2237","12.3444"
"C2","4.7uF","TopLayer","Capacitor-0805","20.3776","12.3444","180","CL21A475KBQNNNE","20.3776","12.3444","21.3776","12.3444"
"C1","4.7uF/NC","TopLayer","Capacitor-0402","20.9839","10.3277","180","CL05A475MO5NUNC","20.9839","10.3277","21.4919","10.3277"
"R39","NC/0R","TopLayer","Resistor-0402","10.5580","45.5168","270","Resistor-0402","10.5580","45.5168","10.5580","46.0248"
"R38","NC/7.5K","TopLayer","Resistor-0402","11.3203","45.5168","270","Resistor-0402","11.3203","45.5168","11.3203","46.0248"
"C45","0R/100nF","TopLayer","Capacitor-0402","9.7958","45.5168","270","CL05B104KB5NNNC","9.7958","45.5168","9.7958","46.0248"
"U6","TXS0104ERGYR","TopLayer","TXS0104E-VQFN-14-3.5x3.5mm","21.2478","49.0972","0","TXS0104ERGYR","21.2478","49.0972","20.4978","50.7472"
"R37","10K","TopLayer","Resistor-0402","22.6314","45.6438","270","Resistor-0402","22.6314","45.6438","22.6314","46.1518"
"R33","10K","TopLayer","Resistor-0402","24.2824","42.5958","90","Resistor-0402","24.2824","42.5958","24.2824","42.0878"
"R32","10K","TopLayer","Resistor-0402","21.1074","59.6138","90","Resistor-0402","21.1074","59.6138","21.1074","59.1058"
"R31","0R/NC","TopLayer","Resistor-0402","24.2824","40.4368","270","Resistor-0402","24.2824","40.4368","24.2824","40.9448"
"J2","E0470A01-AF-S","TopLayer","E0470A01-AF-S","27.0219","49.6713","90","AFC01-S40FCA-00","28.3719","49.6713","25.6719","59.4213"
"C44","100nF","TopLayer","Capacitor-0402","21.6154","51.6793","180","100nF/X5R/25V","21.6154","51.6793","22.1234","51.6793"
"C43","100nF","TopLayer","Capacitor-0402","19.8374","51.6793","180","100nF/X5R/25V","19.8374","51.6793","20.3454","51.6793"
"J3","CONN_HDR_3X4_2.54mm","TopLayer","CONN_HDR_3X4_2.54mm","4.0894","61.0108","270","","4.0894","61.0108","1.5494","64.8208"
"X1","27MHz","TopLayer","Oscillator-2016","19.4564","57.7763","270","OC7EL89CJO-113YLC-27M","19.4564","57.7763","18.9064","58.4763"
"USB1","TYPE-C","TopLayer","TYPE-C-16P","5.3554","50.6928","270","GT-USB-7010ASV","7.8754","50.6928","2.8354","46.3678"
"U5","TXS0108ERGYR","TopLayer","TXS0108E-VQFN-20-3.5x4.5mm","13.9994","49.0988","270","TXS0108ERGYR","13.9994","49.0988","16.1494","49.8488"
"U4","GW1NSR-LV4CQN48PC7/I6","TopLayer","GW1NSR-LV4CQN48P-QFN-48_6X6","14.7224","55.0978","0","GW1NSR-LV4CQN48PC7/I6","14.7224","55.0978","11.8724","57.2978"
"U3","EA3036CQBR","TopLayer","EA3036-QFN-20","4.4704","37.7698","270","EA3036CQBR","4.4704","37.7698","5.2704","39.3198"
"U2","SY6283ADRC","TopLayer","SY6283ADRC-dfn-4_1.2x1.6mm","4.3434","44.5008","0","SY6283ADRC","4.3434","44.5008","3.7434","44.7508"
"U1","TPS65185/SY7636A","TopLayer","TPS65185-VQFN-48_6x6mm","16.0769","40.7828","270","","16.0769","40.7828","18.2769","43.6578"
"R36","4.7K/NC","TopLayer","Resistor-0402","17.8054","49.4541","360","Resistor-0402","17.8054","49.4541","17.2974","49.4541"
"R35","4.7K/NC","TopLayer","Resistor-0402","17.8054","48.6921","360","Resistor-0402","17.8054","48.6921","17.2974","48.6921"
"R34","10K","TopLayer","Resistor-0402","10.5664","49.0726","90","Resistor-0402","10.5664","49.0726","10.5664","48.5646"
"R30","49.9R","TopLayer","Resistor-0402","19.4564","56.1930","360","Resistor-0402","19.4564","56.1930","18.9484","56.1930"
"R29","4.7K","TopLayer","Resistor-0402","10.5664","54.4068","270","Resistor-0402","10.5664","54.4068","10.5664","54.9148"
"R28","100R","TopLayer","Resistor-0402","18.4404","61.5188","360","Resistor-0402","18.4404","61.5188","17.9324","61.5188"
"R27","100R","TopLayer","Resistor-0402","16.6624","61.5188","360","Resistor-0402","16.6624","61.5188","16.1544","61.5188"
"R26","100R","TopLayer","Resistor-0402","13.1064","61.5188","360","Resistor-0402","13.1064","61.5188","12.5984","61.5188"
"R25","100K 1%","TopLayer","Resistor-0402","5.3974","40.4108","360","Resistor-0402","5.3974","40.4108","4.8894","40.4108"
"R24","100R","TopLayer","Resistor-0402","11.3282","61.5188","180","Resistor-0402","11.3282","61.5188","11.8362","61.5188"
"R23","100R","TopLayer","Resistor-0402","14.8844","61.5188","360","Resistor-0402","14.8844","61.5188","14.3764","61.5188"
"R22","200K 1%","TopLayer","Resistor-0402","5.3974","41.1731","360","Resistor-0402","5.3974","41.1731","4.8894","41.1731"
"R21","100K","TopLayer","Resistor-0402","7.5564","37.6168","180","Resistor-0402","7.5564","37.6168","8.0644","37.6168"
"R20","100K 1%","TopLayer","Resistor-0402","3.4924","40.4108","180","Resistor-0402","3.4924","40.4108","4.0004","40.4108"
"R19","100K","TopLayer","Resistor-0402","1.3334","37.9981","360","Resistor-0402","1.3334","37.9981","0.8254","37.9981"
"R18","100K","TopLayer","Resistor-0402","1.3334","37.2358","360","Resistor-0402","1.3334","37.2358","0.8254","37.2358"
"R17","100K 1%","TopLayer","Resistor-0402","3.4924","41.1731","180","Resistor-0402","3.4924","41.1731","4.0004","41.1731"
"R16","15K 1%","TopLayer","Resistor-0402","3.3654","34.6958","270","Resistor-0402","3.3654","34.6958","3.3654","35.2038"
"R15","68K 1%","TopLayer","Resistor-0402","4.1277","34.6958","270","Resistor-0402","4.1277","34.6958","4.1277","35.2038"
"R14","100K","TopLayer","Resistor-0402","2.2792","45.0279","180","Resistor-0402","2.2792","45.0279","2.7872","45.0279"
"R13","5.1K","TopLayer","Resistor-0402","9.5504","49.0728","90","Resistor-0402","9.5504","49.0728","9.5504","48.5648"
"R12","5.1K","TopLayer","Resistor-0402","9.5504","52.6288","90","Resistor-0402","9.5504","52.6288","9.5504","52.1208"
"R11","5.1M","TopLayer","Resistor-0402","11.2049","38.7610","180","Resistor-0402","11.2049","38.7610","11.7129","38.7610"
"R10","52.3K/59K","TopLayer","Resistor-0402","17.6784","33.9344","180","Resistor-0402","17.6784","33.9344","18.1864","33.9344"
"R9","1M/750K","TopLayer","Resistor-0402","16.1236","36.0071","90","Resistor-0402","16.1236","36.0071","16.1236","35.4991"
"R8","4.7K/NC","TopLayer","Resistor-0402","11.2049","39.5232","180","Resistor-0402","11.2049","39.5232","11.7129","39.5232"
"R7","47.5K/21K","TopLayer","Resistor-0402","17.6784","34.6964","360","Resistor-0402","17.6784","34.6964","17.1704","34.6964"
"R6","1M/510K","TopLayer","Resistor-0402","19.2022","35.9918","90","Resistor-0402","19.2022","35.9918","19.2022","35.4838"
"R5","4.7K/NC","TopLayer","Resistor-0402","11.2049","40.2855","180","Resistor-0402","11.2049","40.2855","11.7129","40.2855"
"R4","5.1M","TopLayer","Resistor-0402","12.5933","46.0566","180","Resistor-0402","12.5933","46.0566","13.1013","46.0566"
"R3","5.1M","TopLayer","Resistor-0402","15.2657","45.5168","90","Resistor-0402","15.2657","45.5168","15.2657","45.0088"
"R2","43.2K/36K","TopLayer","Resistor-0402","20.9839","42.7379","180","Resistor-0402","20.9839","42.7379","21.4919","42.7379"
"R1","10K/NC","TopLayer","Resistor-0402","20.9839","44.2624","360","Resistor-0402","20.9839","44.2624","20.4759","44.2624"
"L5","1.5uH","TopLayer","Inductor-2016","7.4168","41.1480","270","FTC201610S1R5MBCA","7.4168","41.1480","7.4168","41.7980"
"L4","1.5uH","TopLayer","Inductor-2016","1.4604","41.1535","270","FTC201610S1R5MBCA","1.4604","41.1535","1.4604","41.8036"
"L3","1.5uH","TopLayer","Inductor-2016","1.4604","34.8228","90","FTC201610S1R5MBCA","1.4604","34.8228","1.4604","34.1728"
"L2","4.7uH","TopLayer","Inductor-2016","10.5496","36.2219","180","FTC201610S4R7MBCA","10.5496","36.2219","11.1996","36.2219"
"L1","2.2uH/4.7uH","TopLayer","Inductor-2016","22.4929","38.1133","360","FTC201612S2R2MBCA/FTC201610S4R7MBCA","22.4929","38.1133","21.8429","38.1133"
"J1","FPC-22P-0.5mm","TopLayer","HC-FPC-05-10-22RLTAG","17.1438","63.9398","180","HC-FPC-05-10-22RLTAG","17.1438","65.3448","22.3938","62.5348"
"FB5","120次@100MHz","TopLayer","Ferrite_Bead-0402","19.4564","59.3596","360","UPZ1005D121-1R3TF","19.4564","59.3596","18.9484","59.3596"
"FB4","120次@100MHz","TopLayer","Ferrite_Bead-0402","7.4168","42.7063","180","UPZ1005D121-1R3TF","7.4168","42.7063","7.9248","42.7063"
"FB3","120次@100MHz","TopLayer","Ferrite_Bead-0402","3.4924","42.6976","180","UPZ1005D121-1R3TF","3.4924","42.6976","4.0004","42.6976"
"FB2","120次@100MHz","TopLayer","Ferrite_Bead-0402","6.4144","34.6958","270","UPZ1005D121-1R3TF","6.4144","34.6958","6.4144","35.2038"
"FB1","600次@100MHz","TopLayer","Ferrite_Bead-0603","1.8414","44.1198","180","UPZ1608U601-1R3TF","1.8414","44.1198","2.6414","44.1198"
"D4","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","10.5664","34.5438","360","Schottky Diode-DFN-1610-2","10.5664","34.5438","9.9564","34.5438"
"D3","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","15.7773","34.3408","90","BAV99QA/1SS362FV","15.7773","34.3408","15.4023","33.8908"
"D2","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","19.5834","34.3255","90","BAV99QA/1SS362FV","19.5834","34.3255","19.2084","33.8755"
"D1","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","20.6149","38.1147","90","Schottky Diode-DFN-1610-2","20.6149","38.1147","20.6149","37.5047"
"C42","100nF","TopLayer","Capacitor-0402","17.8054","50.2163","360","100nF/X5R/25V","17.8054","50.2163","17.2974","50.2163"
"C41","100nF","TopLayer","Capacitor-0402","17.8054","47.1678","180","100nF/X5R/25V","17.8054","47.1678","18.3134","47.1678"
"C40","100nF","TopLayer","Capacitor-0402","17.8054","47.9298","180","100nF/X5R/25V","17.8054","47.9298","18.3134","47.9298"
"C39","100nF","TopLayer","Capacitor-0402","17.2859","59.6138","270","100nF/X5R/25V","17.2859","59.6138","17.2859","60.1218"
"C38","4.7uF","TopLayer","Capacitor-0402","16.5237","59.6138","270","4.7uF/X5R/10V","16.5237","59.6138","16.5237","60.1218"
"C37","100nF","TopLayer","Capacitor-0402","10.5664","50.8506","270","100nF/X5R/25V","10.5664","50.8506","10.5664","51.3586"
"C36","4.7uF","TopLayer","Capacitor-0402","10.5664","52.6286","90","4.7uF/X5R/10V","10.5664","52.6286","10.5664","52.1206"
"C35","100nF","TopLayer","Capacitor-0402","18.0482","59.6138","90","100nF/X5R/25V","18.0482","59.6138","18.0482","59.1058"
"C34","100nF","TopLayer","Capacitor-0402","10.5664","56.1848","270","100nF/X5R/25V","10.5664","56.1848","10.5664","56.6928"
"C33","100nF","TopLayer","Capacitor-0402","19.4564","60.1218","360","100nF/X5R/25V","19.4564","60.1218","18.9484","60.1218"
"C32","100nF","TopLayer","Capacitor-0402","17.8054","50.9786","360","100nF/X5R/25V","17.8054","50.9786","17.2974","50.9786"
"C31","220pF","TopLayer","Capacitor-0402","5.3974","41.9353","360","CL05C221JB5NNNC","5.3974","41.9353","4.8894","41.9353"
"C30","10uF","TopLayer","Capacitor-0402","5.4102","42.6976","360","HGC0402R5106M100NTEJ","5.4102","42.6976","4.9022","42.6976"
"C29","220pF","TopLayer","Capacitor-0402","3.4924","41.9353","180","CL05C221JB5NNNC","3.4924","41.9353","4.0004","41.9353"
